b,n_matter,t_end,t_multiplier,t,lambda,xi,tensor_to_scalar_ratio,projected_response_x_r,dx_r_dt,dprime_quotient,dprime_closed_form,closed_form_residual
0.1,100000,0.7346971450938999,1.05,0.771432002348595,0.0001466041566088876,7.91665966597948e-09,12.173992536557575,-0.5217490670696969,10.615336510960674,14.585955894430942,14.585955894430935,7.105427357601002e-15
0.1,100000,0.7346971450938999,1.25,0.918371431367375,0.00014463115805326033,9.297758654918561e-09,5.275943829648528,0.34050702129393395,3.105654206851391,3.512965050463015,3.5129650504630154,-4.440892098500626e-16
0.1,100000,0.7346971450938999,2.0,1.4693942901877999,0.0001376826591030415,1.4161707920071768e-08,0.9490248601810048,0.8813718924773744,0.25898859560848264,1.1604285015520883,1.1604285015520883,0.0
0.1,100000,0.7346971450938999,4.0,2.9387885803755998,0.00012204671978096858,2.5106865445522788e-08,0.12225589471840775,0.984718013160199,0.01469466145105323,0.4844856878999,0.4844856878999008,-8.326672684688674e-16
0.1,100000,0.7346971450938999,8.0,5.8775771607511995,9.945703227806484e-05,4.0919646697555407e-08,0.017092439283338198,0.9978634450895827,0.0010525406495898088,0.24658066412442856,0.24658066412443014,-1.582067810090848e-15
0.1,100000,0.7346971450938999,16.0,11.755154321502399,7.258678476086503e-05,5.972881995959528e-08,0.0021208411148777744,0.9997348948606403,7.086165143594852e-05,0.13366592165341792,0.13366592165342805,-1.0130785099704553e-14
0.1,1000000,0.7346971450938999,1.05,0.771432002348595,1.466041566088876e-05,7.916659665979481e-11,12.173992536557575,-0.5217490670696969,10.615336510960674,14.585955894430942,14.585955894430935,7.105427357601002e-15
0.1,1000000,0.7346971450938999,1.25,0.918371431367375,1.4463115805326034e-05,9.297758654918562e-11,5.275943829648528,0.34050702129393395,3.105654206851391,3.512965050463015,3.5129650504630154,-4.440892098500626e-16
0.1,1000000,0.7346971450938999,2.0,1.4693942901877999,1.3768265910304148e-05,1.416170792007177e-10,0.9490248601810048,0.8813718924773744,0.25898859560848264,1.1604285015520883,1.1604285015520883,0.0
0.1,1000000,0.7346971450938999,4.0,2.9387885803755998,1.2204671978096858e-05,2.510686544552279e-10,0.12225589471840775,0.984718013160199,0.01469466145105323,0.4844856878999,0.4844856878999008,-8.326672684688674e-16
0.1,1000000,0.7346971450938999,8.0,5.8775771607511995,9.945703227806484e-06,4.0919646697555413e-10,0.017092439283338198,0.9978634450895827,0.0010525406495898088,0.24658066412442856,0.24658066412443014,-1.582067810090848e-15
0.1,1000000,0.7346971450938999,16.0,11.755154321502399,7.258678476086502e-06,5.972881995959528e-10,0.0021208411148777744,0.9997348948606403,7.086165143594852e-05,0.13366592165341792,0.13366592165342805,-1.0130785099704553e-14
0.3,100000,0.6585634064860568,1.05,0.6914915768103597,0.0003923491678344635,5.697429039247798e-08,11.885168265429227,-0.4856460331786534,12.551708298409428,16.425757105550346,16.425757105550346,0.0
0.3,100000,0.6585634064860568,1.25,0.823204258107571,0.00037991637737766113,6.567724371223964e-08,4.8098957292061,0.3987630338492375,3.411946534024731,4.057069019104615,4.057069019104614,8.881784197001252e-16
0.3,100000,0.6585634064860568,2.0,1.3171268129721136,0.00033956568909182907,9.392272551232209e-08,0.7452522199081972,0.9068434725114753,0.24937078295682938,1.4038387725911607,1.4038387725911607,0.0
0.3,100000,0.6585634064860568,4.0,2.6342536259442273,0.0002646189682614141,1.4638543009361257e-07,0.07501170353955165,0.990623537057556,0.011478280340751813,0.6149625248907217,0.614962524890724,-2.3314683517128287e-15
0.3,100000,0.6585634064860568,8.0,5.268507251888455,0.0001835812566542212,2.031118282186476e-07,0.007774708181582014,0.9990281614773022,0.0006175973061382688,0.3179013488507728,0.3179013488507762,-3.3861802251067274e-15
0.3,100000,0.6585634064860568,16.0,10.53701450377691,0.0001138498271794816,2.519238288509653e-07,0.0007096567861355186,0.9999112929017331,2.9969899304336966e-05,0.16893365480468364,0.16893365480465025,3.338995746560158e-14
0.3,1000000,0.6585634064860568,1.05,0.6914915768103597,3.923491678344634e-05,5.697429039247797e-10,11.885168265429227,-0.4856460331786534,12.551708298409428,16.425757105550346,16.425757105550346,0.0
0.3,1000000,0.6585634064860568,1.25,0.823204258107571,3.799163773776611e-05,6.567724371223962e-10,4.8098957292061,0.3987630338492375,3.411946534024731,4.057069019104615,4.057069019104614,8.881784197001252e-16
0.3,1000000,0.6585634064860568,2.0,1.3171268129721136,3.3956568909182904e-05,9.392272551232207e-10,0.7452522199081972,0.9068434725114753,0.24937078295682938,1.4038387725911607,1.4038387725911607,0.0
0.3,1000000,0.6585634064860568,4.0,2.6342536259442273,2.6461896826141405e-05,1.4638543009361257e-09,0.07501170353955165,0.990623537057556,0.011478280340751813,0.6149625248907217,0.614962524890724,-2.3314683517128287e-15
0.3,1000000,0.6585634064860568,8.0,5.268507251888455,1.835812566542212e-05,2.031118282186476e-09,0.007774708181582014,0.9990281614773022,0.0006175973061382688,0.3179013488507728,0.3179013488507762,-3.3861802251067274e-15
0.3,1000000,0.6585634064860568,16.0,10.53701450377691,1.1384982717948158e-05,2.5192382885096527e-09,0.0007096567861355186,0.9999112929017331,2.9969899304336966e-05,0.16893365480468364,0.16893365480465025,3.338995746560158e-14
1.0,100000,0.5191541270067117,1.05,0.5451118333570473,0.0010220209761408173,3.89981009623436e-07,11.382289608394508,-0.4227862010493135,17.378322338321038,21.160771570350082,21.160771570350086,-3.552713678800501e-15
1.0,100000,0.5191541270067117,1.25,0.6489426587583896,0.0009576662328351343,4.3502932993741417e-07,4.102830085325874,0.4871462393342657,4.134512295034661,5.420970776471544,5.420970776471544,0.0
1.0,100000,0.5191541270067117,2.0,1.0383082540134234,0.0007747290926507222,5.630853280665026e-07,0.5103230669139154,0.9362096166357605,0.24283529241019597,1.9660937385923765,1.9660937385923793,-2.886579864025407e-15
1.0,100000,0.5191541270067117,4.0,2.076616508026847,0.0005132705685139351,7.461062949622536e-07,0.038447013913413715,0.9951941232608232,0.008410936287589005,0.8771756319783636,0.877175631978377,-1.3433698597964394e-14
1.0,100000,0.5191541270067117,8.0,4.153233016053694,0.00030643611481469317,8.90890412551723e-07,0.0030516804247166466,0.9996185399469104,0.0003396753368235734,0.44531548286240524,0.44531548286242983,-2.4591439995447217e-14
1.0,100000,0.5191541270067117,16.0,8.306466032107387,0.00016968167064987526,9.866185234670954e-07,0.0002260335069463049,0.9999717458116317,1.2958702963470542e-05,0.22932681459427337,0.2293268145939533,3.2007729799943263e-13
1.0,1000000,0.5191541270067117,1.05,0.5451118333570473,0.00010220209761408173,3.8998100962343596e-09,11.382289608394508,-0.4227862010493135,17.378322338321038,21.160771570350082,21.160771570350086,-3.552713678800501e-15
1.0,1000000,0.5191541270067117,1.25,0.6489426587583896,9.576662328351343e-05,4.35029329937414e-09,4.102830085325874,0.4871462393342657,4.134512295034661,5.420970776471544,5.420970776471544,0.0
1.0,1000000,0.5191541270067117,2.0,1.0383082540134234,7.747290926507222e-05,5.630853280665024e-09,0.5103230669139154,0.9362096166357605,0.24283529241019597,1.9660937385923765,1.9660937385923793,-2.886579864025407e-15
1.0,1000000,0.5191541270067117,4.0,2.076616508026847,5.1327056851393505e-05,7.461062949622533e-09,0.038447013913413715,0.9951941232608232,0.008410936287589005,0.8771756319783636,0.877175631978377,-1.3433698597964394e-14
1.0,1000000,0.5191541270067117,8.0,4.153233016053694,3.064361148146932e-05,8.908904125517228e-09,0.0030516804247166466,0.9996185399469104,0.0003396753368235734,0.44531548286240524,0.44531548286242983,-2.4591439995447217e-14
1.0,1000000,0.5191541270067117,16.0,8.306466032107387,1.6968167064987526e-05,9.866185234670951e-09,0.0002260335069463049,0.9999717458116317,1.2958702963470542e-05,0.22932681459427337,0.2293268145939533,3.2007729799943263e-13
